Provincias	Tamaño de los municipios	Periodo	Total
07 Balears, Illes	De 30.001 a 50.000	2010	5
07 Balears, Illes	De 30.001 a 50.000	2009	5
07 Balears, Illes	De 30.001 a 50.000	2008	5
07 Balears, Illes	De 30.001 a 50.000	2007	5
07 Balears, Illes	De 30.001 a 50.000	2006	4
07 Balears, Illes	De 30.001 a 50.000	2005	3
07 Balears, Illes	De 30.001 a 50.000	2004	3
07 Balears, Illes	De 30.001 a 50.000	2003	3
07 Balears, Illes	De 30.001 a 50.000	2002	3
07 Balears, Illes	De 30.001 a 50.000	2001	3
07 Balears, Illes	De 30.001 a 50.000	2000	3
07 Balears, Illes	De 30.001 a 50.000	1999	3
07 Balears, Illes	De 30.001 a 50.000	1998	3
07 Balears, Illes	De 30.001 a 50.000	1997	""
07 Balears, Illes	De 30.001 a 50.000	1996	1
07 Balears, Illes	De 50.001 a 100.000	2021	2
07 Balears, Illes	De 50.001 a 100.000	2020	2
07 Balears, Illes	De 50.001 a 100.000	2019	1
07 Balears, Illes	De 50.001 a 100.000	2018	0
07 Balears, Illes	De 50.001 a 100.000	2017	0
07 Balears, Illes	De 50.001 a 100.000	2016	0
07 Balears, Illes	De 50.001 a 100.000	2015	1
07 Balears, Illes	De 50.001 a 100.000	2014	1
07 Balears, Illes	De 50.001 a 100.000	2013	2
07 Balears, Illes	De 50.001 a 100.000	2012	1
07 Balears, Illes	De 50.001 a 100.000	2011	1
07 Balears, Illes	De 50.001 a 100.000	2010	1
07 Balears, Illes	De 50.001 a 100.000	2009	1
07 Balears, Illes	De 50.001 a 100.000	2008	1
07 Balears, Illes	De 50.001 a 100.000	2007	0
07 Balears, Illes	De 50.001 a 100.000	2006	0
07 Balears, Illes	De 50.001 a 100.000	2005	0
07 Balears, Illes	De 50.001 a 100.000	2004	0
07 Balears, Illes	De 50.001 a 100.000	2003	0
07 Balears, Illes	De 50.001 a 100.000	2002	0
07 Balears, Illes	De 50.001 a 100.000	2001	0
07 Balears, Illes	De 50.001 a 100.000	2000	0
07 Balears, Illes	De 50.001 a 100.000	1999	0
07 Balears, Illes	De 50.001 a 100.000	1998	0
07 Balears, Illes	De 50.001 a 100.000	1997	""
07 Balears, Illes	De 50.001 a 100.000	1996	0
07 Balears, Illes	De 100.001 a 500.000	2021	1
07 Balears, Illes	De 100.001 a 500.000	2020	1
07 Balears, Illes	De 100.001 a 500.000	2019	1
07 Balears, Illes	De 100.001 a 500.000	2018	1
07 Balears, Illes	De 100.001 a 500.000	2017	1
07 Balears, Illes	De 100.001 a 500.000	2016	1
07 Balears, Illes	De 100.001 a 500.000	2015	1
07 Balears, Illes	De 100.001 a 500.000	2014	1
07 Balears, Illes	De 100.001 a 500.000	2013	1
07 Balears, Illes	De 100.001 a 500.000	2012	1
07 Balears, Illes	De 100.001 a 500.000	2011	1
07 Balears, Illes	De 100.001 a 500.000	2010	1
07 Balears, Illes	De 100.001 a 500.000	2009	1
07 Balears, Illes	De 100.001 a 500.000	2008	1
07 Balears, Illes	De 100.001 a 500.000	2007	1
07 Balears, Illes	De 100.001 a 500.000	2006	1
07 Balears, Illes	De 100.001 a 500.000	2005	1
07 Balears, Illes	De 100.001 a 500.000	2004	1
07 Balears, Illes	De 100.001 a 500.000	2003	1
07 Balears, Illes	De 100.001 a 500.000	2002	1
07 Balears, Illes	De 100.001 a 500.000	2001	1
07 Balears, Illes	De 100.001 a 500.000	2000	1
07 Balears, Illes	De 100.001 a 500.000	1999	1
07 Balears, Illes	De 100.001 a 500.000	1998	1
07 Balears, Illes	De 100.001 a 500.000	1997	""
07 Balears, Illes	De 100.001 a 500.000	1996	1
07 Balears, Illes	Más de 500.000	2021	0
07 Balears, Illes	Más de 500.000	2020	0
07 Balears, Illes	Más de 500.000	2019	0
07 Balears, Illes	Más de 500.000	2018	0
07 Balears, Illes	Más de 500.000	2017	0
07 Balears, Illes	Más de 500.000	2016	0
07 Balears, Illes	Más de 500.000	2015	0
07 Balears, Illes	Más de 500.000	2014	0
07 Balears, Illes	Más de 500.000	2013	0
07 Balears, Illes	Más de 500.000	2012	0
07 Balears, Illes	Más de 500.000	2011	0
07 Balears, Illes	Más de 500.000	2010	0
07 Balears, Illes	Más de 500.000	2009	0
07 Balears, Illes	Más de 500.000	2008	0
07 Balears, Illes	Más de 500.000	2007	0
07 Balears, Illes	Más de 500.000	2006	0
07 Balears, Illes	Más de 500.000	2005	0
07 Balears, Illes	Más de 500.000	2004	0
07 Balears, Illes	Más de 500.000	2003	0
07 Balears, Illes	Más de 500.000	2002	0
07 Balears, Illes	Más de 500.000	2001	0
07 Balears, Illes	Más de 500.000	2000	0
07 Balears, Illes	Más de 500.000	1999	0
07 Balears, Illes	Más de 500.000	1998	0
07 Balears, Illes	Más de 500.000	1997	""
07 Balears, Illes	Más de 500.000	1996	0
08 Barcelona	Total	2021	311
08 Barcelona	Total	2020	311
08 Barcelona	Total	2019	311
08 Barcelona	Total	2018	311
08 Barcelona	Total	2017	311
08 Barcelona	Total	2016	311
08 Barcelona	Total	2015	311
08 Barcelona	Total	2014	311
08 Barcelona	Total	2013	311
08 Barcelona	Total	2012	311
08 Barcelona	Total	2011	311
08 Barcelona	Total	2010	311
08 Barcelona	Total	2009	311
08 Barcelona	Total	2008	311
08 Barcelona	Total	2007	311
08 Barcelona	Total	2006	311
08 Barcelona	Total	2005	311
08 Barcelona	Total	2004	311
08 Barcelona	Total	2003	311
08 Barcelona	Total	2002	311
08 Barcelona	Total	2001	311
08 Barcelona	Total	2000	311
08 Barcelona	Total	1999	311
08 Barcelona	Total	1998	310
08 Barcelona	Total	1997	""
08 Barcelona	Total	1996	310
08 Barcelona	Menos de 101	2021	11
08 Barcelona	Menos de 101	2020	11
08 Barcelona	Menos de 101	2019	11
08 Barcelona	Menos de 101	2018	11
08 Barcelona	Menos de 101	2017	11
08 Barcelona	Menos de 101	2016	11
08 Barcelona	Menos de 101	2015	11
08 Barcelona	Menos de 101	2014	11
08 Barcelona	Menos de 101	2013	11
08 Barcelona	Menos de 101	2012	11
08 Barcelona	Menos de 101	2011	11
08 Barcelona	Menos de 101	2010	10
08 Barcelona	Menos de 101	2009	9
08 Barcelona	Menos de 101	2008	9
08 Barcelona	Menos de 101	2007	10
08 Barcelona	Menos de 101	2006	9
08 Barcelona	Menos de 101	2005	10
08 Barcelona	Menos de 101	2004	10
08 Barcelona	Menos de 101	2003	10
08 Barcelona	Menos de 101	2002	11
08 Barcelona	Menos de 101	2001	11
08 Barcelona	Menos de 101	2000	11
08 Barcelona	Menos de 101	1999	12
08 Barcelona	Menos de 101	1998	13
08 Barcelona	Menos de 101	1997	""
08 Barcelona	Menos de 101	1996	13
08 Barcelona	De 101 a 500	2021	53
08 Barcelona	De 101 a 500	2020	53
08 Barcelona	De 101 a 500	2019	53
08 Barcelona	De 101 a 500	2018	54
08 Barcelona	De 101 a 500	2017	55
08 Barcelona	De 101 a 500	2016	55
08 Barcelona	De 101 a 500	2015	54
08 Barcelona	De 101 a 500	2014	53
08 Barcelona	De 101 a 500	2013	52
08 Barcelona	De 101 a 500	2012	53
08 Barcelona	De 101 a 500	2011	52
08 Barcelona	De 101 a 500	2010	53
08 Barcelona	De 101 a 500	2009	55
08 Barcelona	De 101 a 500	2008	57
08 Barcelona	De 101 a 500	2007	57
08 Barcelona	De 101 a 500	2006	60
08 Barcelona	De 101 a 500	2005	59
08 Barcelona	De 101 a 500	2004	60
08 Barcelona	De 101 a 500	2003	62
08 Barcelona	De 101 a 500	2002	63
08 Barcelona	De 101 a 500	2001	63
08 Barcelona	De 101 a 500	2000	64
08 Barcelona	De 101 a 500	1999	64
08 Barcelona	De 101 a 500	1998	63
08 Barcelona	De 101 a 500	1997	""
08 Barcelona	De 101 a 500	1996	64
08 Barcelona	De 501 a 1.000	2021	26
08 Barcelona	De 501 a 1.000	2020	27
08 Barcelona	De 501 a 1.000	2019	29
08 Barcelona	De 501 a 1.000	2018	29
08 Barcelona	De 501 a 1.000	2017	28
08 Barcelona	De 501 a 1.000	2016	28
08 Barcelona	De 501 a 1.000	2015	29
08 Barcelona	De 501 a 1.000	2014	30
08 Barcelona	De 501 a 1.000	2013	31
08 Barcelona	De 501 a 1.000	2012	30
08 Barcelona	De 501 a 1.000	2011	30
08 Barcelona	De 501 a 1.000	2010	30
08 Barcelona	De 501 a 1.000	2009	29
08 Barcelona	De 501 a 1.000	2008	30
08 Barcelona	De 501 a 1.000	2007	31
08 Barcelona	De 501 a 1.000	2006	28
08 Barcelona	De 501 a 1.000	2005	30
08 Barcelona	De 501 a 1.000	2004	31
08 Barcelona	De 501 a 1.000	2003	31
08 Barcelona	De 501 a 1.000	2002	31
08 Barcelona	De 501 a 1.000	2001	32
08 Barcelona	De 501 a 1.000	2000	31
08 Barcelona	De 501 a 1.000	1999	32
08 Barcelona	De 501 a 1.000	1998	33
08 Barcelona	De 501 a 1.000	1997	""
08 Barcelona	De 501 a 1.000	1996	34
08 Barcelona	De 1.001 a 2.000	2021	28
08 Barcelona	De 1.001 a 2.000	2020	27
08 Barcelona	De 1.001 a 2.000	2019	25
08 Barcelona	De 1.001 a 2.000	2018	24
08 Barcelona	De 1.001 a 2.000	2017	26
08 Barcelona	De 1.001 a 2.000	2016	26
08 Barcelona	De 1.001 a 2.000	2015	25
08 Barcelona	De 1.001 a 2.000	2014	27
08 Barcelona	De 1.001 a 2.000	2013	25
08 Barcelona	De 1.001 a 2.000	2012	26
08 Barcelona	De 1.001 a 2.000	2011	30
08 Barcelona	De 1.001 a 2.000	2010	30
08 Barcelona	De 1.001 a 2.000	2009	31
08 Barcelona	De 1.001 a 2.000	2008	28
08 Barcelona	De 1.001 a 2.000	2007	26
08 Barcelona	De 1.001 a 2.000	2006	29
08 Barcelona	De 1.001 a 2.000	2005	33
08 Barcelona	De 1.001 a 2.000	2004	36
08 Barcelona	De 1.001 a 2.000	2003	36
08 Barcelona	De 1.001 a 2.000	2002	35
08 Barcelona	De 1.001 a 2.000	2001	37
08 Barcelona	De 1.001 a 2.000	2000	43
08 Barcelona	De 1.001 a 2.000	1999	41
08 Barcelona	De 1.001 a 2.000	1998	39
08 Barcelona	De 1.001 a 2.000	1997	""
08 Barcelona	De 1.001 a 2.000	1996	41
08 Barcelona	De 2.001 a 3.000	2021	29
08 Barcelona	De 2.001 a 3.000	2020	32
08 Barcelona	De 2.001 a 3.000	2019	33
08 Barcelona	De 2.001 a 3.000	2018	35
08 Barcelona	De 2.001 a 3.000	2017	33
08 Barcelona	De 2.001 a 3.000	2016	34
08 Barcelona	De 2.001 a 3.000	2015	35
08 Barcelona	De 2.001 a 3.000	2014	31
08 Barcelona	De 2.001 a 3.000	2013	34
08 Barcelona	De 2.001 a 3.000	2012	32
08 Barcelona	De 2.001 a 3.000	2011	29
08 Barcelona	De 2.001 a 3.000	2010	29
08 Barcelona	De 2.001 a 3.000	2009	28
08 Barcelona	De 2.001 a 3.000	2008	29
08 Barcelona	De 2.001 a 3.000	2007	32
08 Barcelona	De 2.001 a 3.000	2006	34
08 Barcelona	De 2.001 a 3.000	2005	31
08 Barcelona	De 2.001 a 3.000	2004	30
08 Barcelona	De 2.001 a 3.000	2003	30
08 Barcelona	De 2.001 a 3.000	2002	30
08 Barcelona	De 2.001 a 3.000	2001	29
08 Barcelona	De 2.001 a 3.000	2000	25
08 Barcelona	De 2.001 a 3.000	1999	27
08 Barcelona	De 2.001 a 3.000	1998	27
08 Barcelona	De 2.001 a 3.000	1997	""
08 Barcelona	De 2.001 a 3.000	1996	25
08 Barcelona	De 3.001 a 5.000	2021	34
08 Barcelona	De 3.001 a 5.000	2020	31
08 Barcelona	De 3.001 a 5.000	2019	30
08 Barcelona	De 3.001 a 5.000	2018	28
08 Barcelona	De 3.001 a 5.000	2017	28
08 Barcelona	De 3.001 a 5.000	2016	28
08 Barcelona	De 3.001 a 5.000	2015	27
08 Barcelona	De 3.001 a 5.000	2014	30
08 Barcelona	De 3.001 a 5.000	2013	27
08 Barcelona	De 3.001 a 5.000	2012	27
08 Barcelona	De 3.001 a 5.000	2011	28
08 Barcelona	De 3.001 a 5.000	2010	28
08 Barcelona	De 3.001 a 5.000	2009	29
08 Barcelona	De 3.001 a 5.000	2008	29
08 Barcelona	De 3.001 a 5.000	2007	28
08 Barcelona	De 3.001 a 5.000	2006	25
08 Barcelona	De 3.001 a 5.000	2005	25
08 Barcelona	De 3.001 a 5.000	2004	22
08 Barcelona	De 3.001 a 5.000	2003	22
08 Barcelona	De 3.001 a 5.000	2002	23
08 Barcelona	De 3.001 a 5.000	2001	25
08 Barcelona	De 3.001 a 5.000	2000	26
08 Barcelona	De 3.001 a 5.000	1999	27
08 Barcelona	De 3.001 a 5.000	1998	28
08 Barcelona	De 3.001 a 5.000	1997	""
08 Barcelona	De 3.001 a 5.000	1996	28
08 Barcelona	De 5.001 a 10.000	2021	47
08 Barcelona	De 5.001 a 10.000	2020	47
08 Barcelona	De 5.001 a 10.000	2019	49
08 Barcelona	De 5.001 a 10.000	2018	49
08 Barcelona	De 5.001 a 10.000	2017	49
08 Barcelona	De 5.001 a 10.000	2016	48
08 Barcelona	De 5.001 a 10.000	2015	49
08 Barcelona	De 5.001 a 10.000	2014	48
08 Barcelona	De 5.001 a 10.000	2013	50
08 Barcelona	De 5.001 a 10.000	2012	51
08 Barcelona	De 5.001 a 10.000	2011	50
08 Barcelona	De 5.001 a 10.000	2010	50
08 Barcelona	De 5.001 a 10.000	2009	50
08 Barcelona	De 5.001 a 10.000	2008	49
08 Barcelona	De 5.001 a 10.000	2007	50
08 Barcelona	De 5.001 a 10.000	2006	49
08 Barcelona	De 5.001 a 10.000	2005	47
08 Barcelona	De 5.001 a 10.000	2004	49
08 Barcelona	De 5.001 a 10.000	2003	48
08 Barcelona	De 5.001 a 10.000	2002	46
08 Barcelona	De 5.001 a 10.000	2001	47
08 Barcelona	De 5.001 a 10.000	2000	46
08 Barcelona	De 5.001 a 10.000	1999	44
08 Barcelona	De 5.001 a 10.000	1998	43
08 Barcelona	De 5.001 a 10.000	1997	""
08 Barcelona	De 5.001 a 10.000	1996	42
08 Barcelona	De 10.001 a 20.000	2021	36
08 Barcelona	De 10.001 a 20.000	2020	36
08 Barcelona	De 10.001 a 20.000	2019	34
08 Barcelona	De 10.001 a 20.000	2018	36
08 Barcelona	De 10.001 a 20.000	2017	36
08 Barcelona	De 10.001 a 20.000	2016	36
08 Barcelona	De 10.001 a 20.000	2015	36
08 Barcelona	De 10.001 a 20.000	2014	36
08 Barcelona	De 10.001 a 20.000	2013	36
08 Barcelona	De 10.001 a 20.000	2012	37
08 Barcelona	De 10.001 a 20.000	2011	37
08 Barcelona	De 10.001 a 20.000	2010	37
08 Barcelona	De 10.001 a 20.000	2009	36
08 Barcelona	De 10.001 a 20.000	2008	36
08 Barcelona	De 10.001 a 20.000	2007	33
08 Barcelona	De 10.001 a 20.000	2006	34
08 Barcelona	De 10.001 a 20.000	2005	33
08 Barcelona	De 10.001 a 20.000	2004	31
08 Barcelona	De 10.001 a 20.000	2003	32
08 Barcelona	De 10.001 a 20.000	2002	33
08 Barcelona	De 10.001 a 20.000	2001	28
08 Barcelona	De 10.001 a 20.000	2000	28
08 Barcelona	De 10.001 a 20.000	1999	30
08 Barcelona	De 10.001 a 20.000	1998	30
08 Barcelona	De 10.001 a 20.000	1997	""
08 Barcelona	De 10.001 a 20.000	1996	30
08 Barcelona	De 20.001 a 30.000	2021	15
08 Barcelona	De 20.001 a 30.000	2020	16
08 Barcelona	De 20.001 a 30.000	2019	16
08 Barcelona	De 20.001 a 30.000	2018	14
08 Barcelona	De 20.001 a 30.000	2017	14
08 Barcelona	De 20.001 a 30.000	2016	15
08 Barcelona	De 20.001 a 30.000	2015	15
08 Barcelona	De 20.001 a 30.000	2014	15
08 Barcelona	De 20.001 a 30.000	2013	15
08 Barcelona	De 20.001 a 30.000	2012	14
08 Barcelona	De 20.001 a 30.000	2011	14
08 Barcelona	De 20.001 a 30.000	2010	14
08 Barcelona	De 20.001 a 30.000	2009	14
08 Barcelona	De 20.001 a 30.000	2008	14
08 Barcelona	De 20.001 a 30.000	2007	15
08 Barcelona	De 20.001 a 30.000	2006	14
08 Barcelona	De 20.001 a 30.000	2005	14
08 Barcelona	De 20.001 a 30.000	2004	13
08 Barcelona	De 20.001 a 30.000	2003	12
08 Barcelona	De 20.001 a 30.000	2002	12
08 Barcelona	De 20.001 a 30.000	2001	12
08 Barcelona	De 20.001 a 30.000	2000	11
08 Barcelona	De 20.001 a 30.000	1999	9
08 Barcelona	De 20.001 a 30.000	1998	9
08 Barcelona	De 20.001 a 30.000	1997	""
08 Barcelona	De 20.001 a 30.000	1996	8
08 Barcelona	De 30.001 a 50.000	2021	13
08 Barcelona	De 30.001 a 50.000	2020	12
08 Barcelona	De 30.001 a 50.000	2019	12
08 Barcelona	De 30.001 a 50.000	2018	12
08 Barcelona	De 30.001 a 50.000	2017	12
08 Barcelona	De 30.001 a 50.000	2016	11
08 Barcelona	De 30.001 a 50.000	2015	11
08 Barcelona	De 30.001 a 50.000	2014	11
08 Barcelona	De 30.001 a 50.000	2013	11
08 Barcelona	De 30.001 a 50.000	2012	11
08 Barcelona	De 30.001 a 50.000	2011	11
08 Barcelona	De 30.001 a 50.000	2010	11
08 Barcelona	De 30.001 a 50.000	2009	11
08 Barcelona	De 30.001 a 50.000	2008	11
08 Barcelona	De 30.001 a 50.000	2007	10
08 Barcelona	De 30.001 a 50.000	2006	10
08 Barcelona	De 30.001 a 50.000	2005	10
08 Barcelona	De 30.001 a 50.000	2004	10
08 Barcelona	De 30.001 a 50.000	2003	9
08 Barcelona	De 30.001 a 50.000	2002	10
08 Barcelona	De 30.001 a 50.000	2001	10
08 Barcelona	De 30.001 a 50.000	2000	9
08 Barcelona	De 30.001 a 50.000	1999	8
08 Barcelona	De 30.001 a 50.000	1998	8
08 Barcelona	De 30.001 a 50.000	1997	""
08 Barcelona	De 30.001 a 50.000	1996	10
08 Barcelona	De 50.001 a 100.000	2021	12
08 Barcelona	De 50.001 a 100.000	2020	12
08 Barcelona	De 50.001 a 100.000	2019	12
08 Barcelona	De 50.001 a 100.000	2018	12
08 Barcelona	De 50.001 a 100.000	2017	12
08 Barcelona	De 50.001 a 100.000	2016	12
08 Barcelona	De 50.001 a 100.000	2015	12
08 Barcelona	De 50.001 a 100.000	2014	12
08 Barcelona	De 50.001 a 100.000	2013	12
08 Barcelona	De 50.001 a 100.000	2012	12
08 Barcelona	De 50.001 a 100.000	2011	12
08 Barcelona	De 50.001 a 100.000	2010	12
08 Barcelona	De 50.001 a 100.000	2009	12
08 Barcelona	De 50.001 a 100.000	2008	12
08 Barcelona	De 50.001 a 100.000	2007	12
08 Barcelona	De 50.001 a 100.000	2006	12
08 Barcelona	De 50.001 a 100.000	2005	12
08 Barcelona	De 50.001 a 100.000	2004	12
08 Barcelona	De 50.001 a 100.000	2003	12
08 Barcelona	De 50.001 a 100.000	2002	10
08 Barcelona	De 50.001 a 100.000	2001	10
08 Barcelona	De 50.001 a 100.000	2000	10
08 Barcelona	De 50.001 a 100.000	1999	10
08 Barcelona	De 50.001 a 100.000	1998	10
08 Barcelona	De 50.001 a 100.000	1997	""
08 Barcelona	De 50.001 a 100.000	1996	8
08 Barcelona	De 100.001 a 500.000	2021	6
08 Barcelona	De 100.001 a 500.000	2020	6
08 Barcelona	De 100.001 a 500.000	2019	6
08 Barcelona	De 100.001 a 500.000	2018	6
08 Barcelona	De 100.001 a 500.000	2017	6
08 Barcelona	De 100.001 a 500.000	2016	6
08 Barcelona	De 100.001 a 500.000	2015	6
08 Barcelona	De 100.001 a 500.000	2014	6
08 Barcelona	De 100.001 a 500.000	2013	6
08 Barcelona	De 100.001 a 500.000	2012	6
08 Barcelona	De 100.001 a 500.000	2011	6
08 Barcelona	De 100.001 a 500.000	2010	6
08 Barcelona	De 100.001 a 500.000	2009	6
08 Barcelona	De 100.001 a 500.000	2008	6
08 Barcelona	De 100.001 a 500.000	2007	6
08 Barcelona	De 100.001 a 500.000	2006	6
08 Barcelona	De 100.001 a 500.000	2005	6
08 Barcelona	De 100.001 a 500.000	2004	6
08 Barcelona	De 100.001 a 500.000	2003	6
08 Barcelona	De 100.001 a 500.000	2002	6
08 Barcelona	De 100.001 a 500.000	2001	6
08 Barcelona	De 100.001 a 500.000	2000	6
08 Barcelona	De 100.001 a 500.000	1999	6
08 Barcelona	De 100.001 a 500.000	1998	6
08 Barcelona	De 100.001 a 500.000	1997	""
08 Barcelona	De 100.001 a 500.000	1996	6
08 Barcelona	Más de 500.000	2021	1
08 Barcelona	Más de 500.000	2020	1
08 Barcelona	Más de 500.000	2019	1
08 Barcelona	Más de 500.000	2018	1
08 Barcelona	Más de 500.000	2017	1
08 Barcelona	Más de 500.000	2016	1
08 Barcelona	Más de 500.000	2015	1
08 Barcelona	Más de 500.000	2014	1
08 Barcelona	Más de 500.000	2013	1
08 Barcelona	Más de 500.000	2012	1
08 Barcelona	Más de 500.000	2011	1
08 Barcelona	Más de 500.000	2010	1
08 Barcelona	Más de 500.000	2009	1
08 Barcelona	Más de 500.000	2008	1
08 Barcelona	Más de 500.000	2007	1
08 Barcelona	Más de 500.000	2006	1
08 Barcelona	Más de 500.000	2005	1
08 Barcelona	Más de 500.000	2004	1
08 Barcelona	Más de 500.000	2003	1
08 Barcelona	Más de 500.000	2002	1
08 Barcelona	Más de 500.000	2001	1
08 Barcelona	Más de 500.000	2000	1
08 Barcelona	Más de 500.000	1999	1
08 Barcelona	Más de 500.000	1998	1
08 Barcelona	Más de 500.000	1997	""
08 Barcelona	Más de 500.000	1996	1
48 Bizkaia	Total	2021	112
48 Bizkaia	Total	2020	112
48 Bizkaia	Total	2019	112
48 Bizkaia	Total	2018	112
48 Bizkaia	Total	2017	112
48 Bizkaia	Total	2016	112
48 Bizkaia	Total	2015	112
48 Bizkaia	Total	2014	112
48 Bizkaia	Total	2013	112
48 Bizkaia	Total	2012	112
48 Bizkaia	Total	2011	112
48 Bizkaia	Total	2010	112
48 Bizkaia	Total	2009	112
48 Bizkaia	Total	2008	112
48 Bizkaia	Total	2007	112
48 Bizkaia	Total	2006	112
48 Bizkaia	Total	2005	111
48 Bizkaia	Total	2004	111
48 Bizkaia	Total	2003	111
48 Bizkaia	Total	2002	111
48 Bizkaia	Total	2001	111
48 Bizkaia	Total	2000	111
48 Bizkaia	Total	1999	111
48 Bizkaia	Total	1998	111
48 Bizkaia	Total	1997	""
48 Bizkaia	Total	1996	111
48 Bizkaia	Menos de 101	2021	0
48 Bizkaia	Menos de 101	2020	0
48 Bizkaia	Menos de 101	2019	0
48 Bizkaia	Menos de 101	2018	0
48 Bizkaia	Menos de 101	2017	0
48 Bizkaia	Menos de 101	2016	0
48 Bizkaia	Menos de 101	2015	0
48 Bizkaia	Menos de 101	2014	0
48 Bizkaia	Menos de 101	2013	0
48 Bizkaia	Menos de 101	2012	0
48 Bizkaia	Menos de 101	2011	0
48 Bizkaia	Menos de 101	2010	0
48 Bizkaia	Menos de 101	2009	1
48 Bizkaia	Menos de 101	2008	1
48 Bizkaia	Menos de 101	2007	1
48 Bizkaia	Menos de 101	2006	1
48 Bizkaia	Menos de 101	2005	1
48 Bizkaia	Menos de 101	2004	1
48 Bizkaia	Menos de 101	2003	1
48 Bizkaia	Menos de 101	2002	1
48 Bizkaia	Menos de 101	2001	1
48 Bizkaia	Menos de 101	2000	1
48 Bizkaia	Menos de 101	1999	1
48 Bizkaia	Menos de 101	1998	1
48 Bizkaia	Menos de 101	1997	""
48 Bizkaia	Menos de 101	1996	0
48 Bizkaia	De 101 a 500	2021	22
48 Bizkaia	De 101 a 500	2020	22
48 Bizkaia	De 101 a 500	2019	22
48 Bizkaia	De 101 a 500	2018	22
48 Bizkaia	De 101 a 500	2017	21
48 Bizkaia	De 101 a 500	2016	21
48 Bizkaia	De 101 a 500	2015	21
48 Bizkaia	De 101 a 500	2014	21
48 Bizkaia	De 101 a 500	2013	21
48 Bizkaia	De 101 a 500	2012	21
48 Bizkaia	De 101 a 500	2011	22
48 Bizkaia	De 101 a 500	2010	22
48 Bizkaia	De 101 a 500	2009	22
48 Bizkaia	De 101 a 500	2008	22
48 Bizkaia	De 101 a 500	2007	22
48 Bizkaia	De 101 a 500	2006	22
48 Bizkaia	De 101 a 500	2005	22
48 Bizkaia	De 101 a 500	2004	22
48 Bizkaia	De 101 a 500	2003	22
48 Bizkaia	De 101 a 500	2002	22
48 Bizkaia	De 101 a 500	2001	22
48 Bizkaia	De 101 a 500	2000	22
48 Bizkaia	De 101 a 500	1999	24
48 Bizkaia	De 101 a 500	1998	24
48 Bizkaia	De 101 a 500	1997	""
48 Bizkaia	De 101 a 500	1996	24
48 Bizkaia	De 501 a 1.000	2021	17
48 Bizkaia	De 501 a 1.000	2020	17
48 Bizkaia	De 501 a 1.000	2019	17
48 Bizkaia	De 501 a 1.000	2018	17
48 Bizkaia	De 501 a 1.000	2017	18
48 Bizkaia	De 501 a 1.000	2016	18
48 Bizkaia	De 501 a 1.000	2015	18
48 Bizkaia	De 501 a 1.000	2014	18
48 Bizkaia	De 501 a 1.000	2013	18
48 Bizkaia	De 501 a 1.000	2012	19
48 Bizkaia	De 501 a 1.000	2011	18
48 Bizkaia	De 501 a 1.000	2010	17
48 Bizkaia	De 501 a 1.000	2009	16
48 Bizkaia	De 501 a 1.000	2008	17
48 Bizkaia	De 501 a 1.000	2007	19
48 Bizkaia	De 501 a 1.000	2006	19
48 Bizkaia	De 501 a 1.000	2005	18
48 Bizkaia	De 501 a 1.000	2004	17
48 Bizkaia	De 501 a 1.000	2003	17
48 Bizkaia	De 501 a 1.000	2002	19
48 Bizkaia	De 501 a 1.000	2001	19
48 Bizkaia	De 501 a 1.000	2000	20
48 Bizkaia	De 501 a 1.000	1999	18
48 Bizkaia	De 501 a 1.000	1998	18
48 Bizkaia	De 501 a 1.000	1997	""
48 Bizkaia	De 501 a 1.000	1996	20
48 Bizkaia	De 1.001 a 2.000	2021	20
48 Bizkaia	De 1.001 a 2.000	2020	20
48 Bizkaia	De 1.001 a 2.000	2019	20
48 Bizkaia	De 1.001 a 2.000	2018	20
48 Bizkaia	De 1.001 a 2.000	2017	20
48 Bizkaia	De 1.001 a 2.000	2016	20
48 Bizkaia	De 1.001 a 2.000	2015	20
48 Bizkaia	De 1.001 a 2.000	2014	20
48 Bizkaia	De 1.001 a 2.000	2013	20
48 Bizkaia	De 1.001 a 2.000	2012	20
48 Bizkaia	De 1.001 a 2.000	2011	20
48 Bizkaia	De 1.001 a 2.000	2010	21
48 Bizkaia	De 1.001 a 2.000	2009	21
48 Bizkaia	De 1.001 a 2.000	2008	20
48 Bizkaia	De 1.001 a 2.000	2007	18
48 Bizkaia	De 1.001 a 2.000	2006	18
48 Bizkaia	De 1.001 a 2.000	2005	18
48 Bizkaia	De 1.001 a 2.000	2004	20
48 Bizkaia	De 1.001 a 2.000	2003	20
48 Bizkaia	De 1.001 a 2.000	2002	18
48 Bizkaia	De 1.001 a 2.000	2001	18
48 Bizkaia	De 1.001 a 2.000	2000	18
48 Bizkaia	De 1.001 a 2.000	1999	19
48 Bizkaia	De 1.001 a 2.000	1998	19
48 Bizkaia	De 1.001 a 2.000	1997	""
48 Bizkaia	De 1.001 a 2.000	1996	18
48 Bizkaia	De 2.001 a 3.000	2021	8
48 Bizkaia	De 2.001 a 3.000	2020	8
48 Bizkaia	De 2.001 a 3.000	2019	8
48 Bizkaia	De 2.001 a 3.000	2018	8
48 Bizkaia	De 2.001 a 3.000	2017	8
48 Bizkaia	De 2.001 a 3.000	2016	8
48 Bizkaia	De 2.001 a 3.000	2015	8
48 Bizkaia	De 2.001 a 3.000	2014	8
